Reference, Quantity, Value, Footprint, Datasheet, LCSC, MPN, Manufacturer, Supplier, URL
C1 C3 ,2,"22p","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/2006151142_YAGEO-CC0805FRNPO9BN220_C541515.pdf","C541515","CC0805FRNPO9BN220","Yageo","LCSC",""
C12 ,1,"10u 10V","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://datasheet.lcsc.com/lcsc/2011031906_KEMET-T529P106M010AAE200_C696821.pdf","C696821","T529P106M010AAE200","KEMET","LCSC",""
C2 ,1,"10n 50V","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/2005262134_YAGEO-CC0805JKNPO9BN103_C527201.pdf","C527201","CC0805JKNPO9BN103","Yageo","LCSC",""
C4 ,1,"47u","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","","","","","Árwill","https://arwill.hu/termekek/passziv-alkatreszek/kondenzatorok/elektrolit-85c-105c/47uf-50v-elektrolit-kondenzator-974067/"
C5 ,1,"10u","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/1810311438_YAGEO-CC0805ZKY5V6BB106_C88484.pdf","C88484","CC0805ZKY5V6BB106","Yageo","LCSC",""
C6 C7 C10 C11 ,4,"100n","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/2006011836_YAGEO-CC0805GRNPO9BN220_C520058.pdf","C520058","CC0805GRNPO9BN220","Yageo","LCSC",""
C8 ,1,"470u","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","","","","","Árwill","https://arwill.hu/termekek/passziv-alkatreszek/kondenzatorok/elektrolit-85c-105c/470uf-16v-elektrolit-kondenzator-229671/"
C9 ,1,"100u","Capacitor_SMD:C_1206_3216Metric","https://datasheet.lcsc.com/lcsc/2006191032_YAGEO-CC1206MKX5R5BB107_C110048.pdf","C110048","CC1206MKX5R5BB107","Yageo","LCSC",""
D1 ,1,"SMCJ36CA","Diode_SMD:D_SMC","https://datasheet.lcsc.com/lcsc/2110190930_BOURNS-SMCJ36CA_C2831485.pdf","C2831485","SMCJ36CA","Bourns","LCSC",""
D2 ,1,"BZX84C10L","Diode_SMD:D_SOT-23_ANK","https://datasheet.lcsc.com/lcsc/1810301517_onsemi-BZX84C10LT1G_C82476.pdf","C82476","BZX84C10LT1G","onsemi","LCSC",""
D3 D5 ,2,"MMSZ3V0","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1807270934_Tak-Cheong-MMSZ3V0CW_C248751.pdf","C248751","MMSZ3V0CW","Tak Cheong","LCSC",""
D4 ,1,"BZX84C6V8L","Diode_SMD:D_SOT-23_ANK","https://datasheet.lcsc.com/lcsc/1810301513_onsemi-BZX84C6V8LT1G_C90848.pdf","C90848","BZX84C6V8LT1G","onsemi","LCSC",""
D6 ,1,"RB160M","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1810131621_ROHM-Semicon-RB160M-40TR_C123003.pdf","C123003","RB160MM-40TR","Rohm Semiconductor","LCSC",""
D7 ,1,"10BQ015","Diode_SMD:D_SMB","https://datasheet.lcsc.com/lcsc/2001101209_Vishay-Intertech-VS-10BQ015-M3-5BT_C413466.pdf","C413466","VS-10BQ015-M3/5BT","Vishay","LCSC",""
D8 ,1,"LED","agro-footprint:LED_0805","https://datasheet.lcsc.com/lcsc/1811131731_Everlight-Elec-17-215-BHC-AP1Q2-3T_C131208.pdf","C131208","17-215/BHC-AP1Q2/3T","Everlight Elec","LCSC",""
J1 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","https://datasheet.lcsc.com/lcsc/1811131824_MOLEX-1050170001_C136000.pdf","C136000","1050170001","Molex","LCSC",""
J2 ,1,"Barrel_Jack_Switch","fanControl:BarrelJack_Wuerth_6941xx301002","","","","","Árwill","https://arwill.hu/termekek/csatlakozok/tap/dc/dc-tap-aljzat-5-5-2-1-586196/"
L1 ,1,"470u","Inductor_THT:L_Radial_D10.5mm_P5.00mm_Abacron_AISR-01","","","","","Árwill","https://arwill.hu/termekek/passziv-alkatreszek/induktivitasok/radialis/470uh-1-2a-induktivitas-659003/"
Q1 ,1,"FDD4243","fanControl:TO-252-2_TabPin5","https://datasheet.lcsc.com/lcsc/2007231308_VBsemi-Elec-FDD4243_C709958.pdf","C709958","FDD4243","VBsemi Elec","LCSC",""
Q2 Q5 ,2,"BSS169","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/lcsc/1810261812_Infineon-Technologies-BSS169H6327_C83053.pdf","C83053","BSS169H6327","Infineon","LCSC",""
Q4 ,1,"BC847BDW1","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://datasheet.lcsc.com/lcsc/1810010214_onsemi-BC847BDW1T1G_C82368.pdf","C82368","BC847BDW1T1G","onsemi","LCSC",""
Q6 ,1,"BRCS4484","fanControl:BRCS4484","https://datasheet.lcsc.com/lcsc/2012021739_Foshan-Blue-Rocket-Elec-BRCS4484SC_C914060.pdf","C914060","BRCS4484SC","Foshan Blue Rocket Elec ","LCSC",""
R1 R2 R14 R20 R29 R31 R32 ,7,"1k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810010217_YAGEO-RC0805JR-071KL_C100046.pdf","C100046","RC0805JR-071KL","Yageo","LCSC",""
R12 R13 R26 R27 R28 ,5,"470R","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810162110_YAGEO-RC0805JR-07470RL_C114747.pdf","C114747","RC0805JR-07470RL","Yageo","LCSC",""
R16 ,1,"3k6","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311331_YAGEO-AC0805JR-073K6L_C229201.pdf","C229201","AC0805JR-073K6L","Yageo","LCSC",""
R17 ,1,"6k8","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311425_YAGEO-RC0805JR-076K8L_C137409.pdf","C137409","RC0805JR-076K8L","Yageo","LCSC",""
R18 ,1,"1k1 1%","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810241428_YAGEO-RC0805FR-071K1L_C185294.pdf","C185294","RC0805FR-071K1L","Yageo","LCSC",""
R19 ,1,"3k3 1%","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311430_YAGEO-RC0805FR-073K3L_C114531.pdf","C114531","RC0805FR-073K3L","Yageo","LCSC",""
R3 R15 R30 R33 ,4,"100k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810241513_YAGEO-RC0805JR-07100KL_C100049.pdf","C100049","RC0805JR-07100KL","Yageo","LCSC",""
R4 R7 R8 R10 R11 R21 R22 R23 R24 R25 ,10,"10k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810171610_YAGEO-RC0805JR-0710KL_C100047.pdf","C100047","RC0805JR-0710KL","Yageo","LCSC",""
R5 ,1,"2k2","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311425_YAGEO-RC0805JR-072K2L_C114237.pdf","C114237","RC0805JR-072K2L","Yageo","LCSC",""
R6 ,1,"4k7","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810010620_YAGEO-RC0805JR-074K7L_C105427.pdf","C105427","RC0805JR-074K7L","Yageo","LCSC",""
R9 ,1,"47k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311310_YAGEO-RC0805JR-0747KL_C131051.pdf","C131051","RC0805JR-0747KL","Yageo","LCSC",""
RV1 ,1,"1k","fanControl:pot","https://datasheet.lcsc.com/lcsc/1810170727_HDK-Hokuriku-Elec-Industry-VG039NCHXTB102_C128543.pdf","C128543","VG039NCHXTB102","HDK","LCSC",""
U2 ,1,"CH340B","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.mpja.com/download/35227cpdata.pdf","C81010","CH340B","WCH","LCSC",""
U3 ,1,"LM2575BT-ADJ","Package_TO_SOT_THT:TO-220-5_Vertical","https://datasheet.lcsc.com/lcsc/1912111437_HGSEMI-LM2575T-ADJ_C434579.pdf","C434579","LM2575T-ADJ","HGSEMI","LCSC",""
U4 ,1,"LM1117","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://datasheet.lcsc.com/lcsc/1809301716_Texas-Instruments-LM1117IMPX-3-3-NOPB-_C23984.pdf","C23984","LM1117IMPX-3.3/NOPB","Texas Instruments","LCSC",""
U5 ,1,"ESP-12E","kicad-ESP8266:ESP-12E","http://l0l.org.uk/2014/12/esp8266-modules-hardware-guide-gotta-catch-em-all/","C89297","ESP-12E","Ai-Thinker","LCSC",""
Y1 ,1,"12M","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","https://datasheet.lcsc.com/lcsc/1912111437_JGHC-S3212000101080_C390763.pdf","C390763","S3212000101080","JGHC","LCSC",""